date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:20	11869/11869	---M--	200	added ('OK')	image/png	etag:%222e5d-5aaa660f202e9%22	https://www.dca.ca.gov/images/cgp_logo.png	C:/Development/downloaded-websites/bcc.ca.gov/www.dca.ca.gov/images/cgp_logo.png	(from https://bcc.ca.gov/)
11:54:20	38753/38753	---M--	200	added ('OK')	image/jpeg	etag:%229761-5a2dd6d31b6c0%22	https://www.dca.ca.gov/images/covid19.jpg	C:/Development/downloaded-websites/bcc.ca.gov/www.dca.ca.gov/images/covid19.jpg	(from https://bcc.ca.gov/)
11:54:20	43444/43444	---M--	200	added ('OK')	image/jpeg	etag:%22a9b4-5fd9284b41440%22	https://www.dca.ca.gov/images/content/save_water.jpg	C:/Development/downloaded-websites/bcc.ca.gov/www.dca.ca.gov/images/content/save_water.jpg	(from https://bcc.ca.gov/)
11:54:20	73978/73978	---M--	200	added ('OK')	application/pdf	etag:%22120fa-5c5d760c95100%22	https://bcc.ca.gov/web_cert.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/web_cert.pdf	(from https://bcc.ca.gov/)
11:54:22	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Fri,%2023%20Jun%202023%2018:54:21%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Development/downloaded-websites/bcc.ca.gov/translate.google.com/translate_a/element.17a0d8.delayed	(from https://bcc.ca.gov/)
11:54:23	8560/8560	---M--	200	added ('OK')	application/javascript	etag:%222170-5b5fb048be528%22	https://www.dca.ca.gov/js/element_monitor.js	C:/Development/downloaded-websites/bcc.ca.gov/www.dca.ca.gov/js/element_monitor.js	(from https://bcc.ca.gov/)
11:54:23	87139/87139	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Jun%202023%2018:54:22%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Development/downloaded-websites/bcc.ca.gov/translate.google.com/translate_a/elementa0d8.js	(from https://bcc.ca.gov/)
11:54:23	318/318	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2018:54:23%20GMT	https://bcc.ca.gov/c	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/c	(from https://connect.facebook.net/en_US/fbevents.js)
11:54:23	318/318	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2018:54:23%20GMT	https://bcc.ca.gov/b	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/b	(from https://connect.facebook.net/en_US/fbevents.js)
11:54:24	321/321	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2018:54:23%20GMT	https://bcc.ca.gov/POST	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/POST	(from https://connect.facebook.net/en_US/fbevents.js)
